"","SetID","P.value","N.Marker.All","N.Marker.Test"
"447","FAM110D",1,3,0
"448","FAM131C",1,7,0
"449","FAM151A",1,4,0
"450","FAM167B",1,1,0
"451","FAM183A",1,1,0
"452","FAM189B",1,8,0
"453","FAM229A",1,1,0
"454","FAM41C",1,5,0
"455","FAM72B",1,1,0
"456","FAM72C\x3bFAM72D",1,1,0
"457","FAM76A",1,5,0
"458","FAM78B",1,1,0
"459","FASLG",1,1,0
"460","FBLIM1",1,3,0
"461","FBXO2",1,5,0
"462","FBXO42",1,4,0
"463","FBXO44",1,2,0
"464","FBXO6",1,4,0
"465","FCER1A",1,2,0
"466","FCER1G",1,1,0
"467","FCER1G\x3bAPOA2",1,2,0
"468","FCGR1A",1,4,0
"469","FCGR2A",1,7,0
"470","FCGR2B",1,4,0
"471","FCGR2C",1,4,0
"472","FCGR3A",1,6,0
"473","FCGR3B",1,2,0
"474","FCN3",1,7,0
"475","FCRL1",1,2,0
"476","FCRL2",1,5,0
"477","FCRL3",1,8,0
"478","FCRL4",1,3,0
"479","FCRL5",1,6,0
"480","FCRL6",1,8,0
"481","FCRLA",1,3,0
"482","FCRLB",1,7,0
"483","FDPS",1,2,0
"484","FGGY",1,8,0
"485","FGR",1,5,0
"486","FHAD1",1,23,0
"487","FLAD1",1,7,0
"488","FLG",1,118,0
"489","FLG-AS1",1,1,0
"490","FLG2",1,36,0
"491","FMO1",1,5,0
"492","FMO2",1,4,0
"493","FMO3",1,2,0
"494","FMO4",1,3,0
"495","FMO5",1,3,0
"496","FNBP1L",1,9,0
"497","FNDC10",1,3,0
"498","FNDC5",1,9,0
"499","FNDC7",1,5,0
"500","FOXD2",1,5,0
"501","FOXD3",1,3,0
"502","FOXE3",1,4,0
"503","FOXJ3",1,8,0
"504","FOXO6",1,8,0
"505","FPGT",1,2,0
"506","FPGT-TNNI3K",1,1,0
"507","FPGT-TNNI3K\x3bTNNI3K",1,5,0
"508","FPGT\x3bFPGT-TNNI3K",1,5,0
"509","FRRS1",1,4,0
"510","FUBP1",1,4,0
"511","FUCA1",1,4,0
"512","FYB2",1,7,0
"513","GABPB2",1,9,0
"514","GABRD",1,5,0
"515","GADD45A",1,1,0
"516","GALE",1,4,0
"517","GATAD2B",1,12,0
"518","GBA",1,7,0
"519","GBAP1",1,2,0
"520","GBP1",1,8,0
"521","GBP2",1,6,0
"522","GBP3",1,6,0
"523","GBP4",1,5,0
"524","GBP5",1,4,0
"525","GBP6",1,4,0
"526","GBP7",1,7,0
"527","GCLM",1,1,0
"528","GDAP2",1,3,0
"529","GFI1",1,7,0
"530","GIPC2",1,4,0
"531","GJA5",1,1,0
"532","GJA8",1,2,0
"533","GJA9",1,2,0
"534","GJA9-MYCBP",1,3,0
"535","GJB3",1,4,0
"536","GJB5",1,1,0
"537","GLIS1",1,8,0
"538","GLMN",1,2,0
"539","GLMP",1,7,0
"540","GMEB1",1,7,0
"541","GNAT2",1,4,0
"542","GNB1",1,4,0
"543","GNG12",1,1,0
"544","GNG12-AS1",1,2,0
"545","GNG5",1,1,0
"546","GNL2",1,5,0
"547","GOLPH3L",1,3,0
"548","GON4L",1,24,0
"549","GORAB",1,5,0
"550","GPA33",1,4,0
"551","GPATCH3",1,3,0
"552","GPATCH4",1,3,0
"553","GPBP1L1",1,5,0
"554","GPN2",1,1,0
"555","GPR153",1,5,0
"556","GPR157",1,3,0
"557","GPR161",1,9,0
"558","GPR3",1,5,0
"559","GPR61",1,2,0
"560","GPR88",1,6,0
"561","GPR89A",1,1,0
